trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9975}",20,0,-105.40045843450604,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9950000000000001}",20,6,-84.58910155976203,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9925000000000002}",25,0,-68.17459039866257,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9900000000000002}",20,5,3.757740893579477,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9875000000000003}",20,0,-40.0598795293122,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9850000000000003}",20,0,-65.98753657748496,"{0: 11, 1: 6, 2: 1, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9825000000000004}",25,3,-84.14292017025288,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9800000000000004}",20,9,-23.729051882870586,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9775000000000005}",25,0,-108.38664341778201,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9750000000000005}",25,0,-173.04048011020691,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9725000000000006}",30,0,-153.58319245987371,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9700000000000006}",25,0,-103.52052445190384,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9675000000000007}",20,0,-58.69611735271621,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9650000000000007}",20,0,-133.594243366107,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9625000000000008}",25,0,-123.04182004521962,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9600000000000009}",20,0,-202.67706142773952,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9575000000000009}",20,3,-29.594811118805683,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.955000000000001}",20,0,-16.23131744918589,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.952500000000001}",25,0,-24.445392668723553,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9500000000000011}",20,0,-74.13686612998806,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
