trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.95749435171626,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.20672437417443,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-230.2472065691333,"{0: 15, 1: 1, 2: 10, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.99915655000044,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-184.2096556262436,"{0: 22, 1: 3, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.57320576154726,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.17637608889918,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.51452636959661,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,21,-20.82592740963737,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.26387093872205,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.15717740609115,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.69613025390638,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.357880001052,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.51808453254185,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.18946239357888,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.78675633086434,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.72897584818146,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,12,7.683961885242251,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.78823611235754,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.33720588445786,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-236.98606610410152,"{0: 13, 1: 1, 2: 13, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-226.12821308044244,"{0: 12, 1: 5, 2: 3, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-84.94640243587618,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.02832615883437,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-55.33477342499481,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-219.90650544723798,"{0: 13, 1: 4, 2: 10, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.06140724630441,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.39184300793274,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.76438810791913,"{0: 11, 1: 5, 2: 0, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.751103373016743,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
